time,open,high,low,close,volume
2025-07-15 01:00:00,1370.68,1375.08,1364.32,1373.1,5676
2025-07-15 05:00:00,1373.38,1384.88,1368.55,1380.03,6655
2025-07-15 09:00:00,1380.09,1383.61,1365.3,1381.98,8924
2025-07-15 13:00:00,1382.01,1394.82,1378.99,1382.01,9246
2025-07-15 17:00:00,1381.59,1385.17,1365.85,1376.55,8554
2025-07-15 21:00:00,1376.55,1377.23,1361.64,1364.12,5996
2025-07-16 01:00:00,1368.58,1375.44,1361.69,1375.19,5433
2025-07-16 05:00:00,1375.2,1382.92,1365.0,1381.77,5383
2025-07-16 09:00:00,1381.74,1388.82,1373.51,1386.74,8608
2025-07-16 13:00:00,1386.76,1399.18,1380.27,1389.09,9848
2025-07-16 17:00:00,1389.18,1425.22,1387.97,1418.09,9286
2025-07-16 21:00:00,1418.09,1421.89,1412.52,1420.88,5184
2025-07-17 01:00:00,1422.52,1429.15,1415.03,1429.15,6970
2025-07-17 05:00:00,1429.17,1429.95,1416.91,1420.61,5302
2025-07-17 09:00:00,1420.71,1422.1,1406.84,1417.65,8188
2025-07-17 13:00:00,1417.72,1423.36,1409.18,1414.58,8377
2025-07-17 17:00:00,1414.62,1464.5,1412.09,1464.4,9195
2025-07-17 21:00:00,1464.43,1465.85,1455.23,1464.25,5629
2025-07-18 01:00:00,1463.02,1477.21,1459.74,1472.85,7485
2025-07-18 05:00:00,1472.73,1474.68,1458.74,1460.28,7119
2025-07-18 09:00:00,1460.68,1473.77,1452.16,1469.11,8965
2025-07-18 13:00:00,1469.29,1481.53,1443.32,1443.98,10015
2025-07-18 17:00:00,1444.57,1457.62,1422.32,1432.19,7713
2025-07-18 21:00:00,1432.42,1436.36,1426.71,1430.05,4340
2025-07-21 01:00:00,1425.81,1437.02,1417.08,1434.5,6213
2025-07-21 05:00:00,1434.26,1440.81,1426.46,1438.36,6795
2025-07-21 09:00:00,1438.37,1458.89,1434.89,1446.05,9188
2025-07-21 13:00:00,1446.06,1466.0,1436.98,1459.84,9441
2025-07-21 17:00:00,1459.66,1461.94,1439.82,1443.08,7719
2025-07-21 21:00:00,1443.09,1448.23,1441.51,1447.54,4418
